x,y_name,y,action,direction,meters,degshours,object1,nearest,relation1,object2,relation2,object3,subset
"отыщи мужчину, который находится левее дубравы, которая располагается спереди от ямы",relation2,8,6,0,0,0,6,0,4,4,3,5,train
сократи расстояние между собой и разрывом,object,5,6,0,0,0,8,0,0,0,0,0,train
езжай  на 59М,meter,2,4,3,6,0,0,0,0,0,0,0,train
направляйся к постройке,object,5,6,0,0,0,1,0,0,0,0,0,train
в западную сторону на шесть с половиной часов,hour,4,5,8,0,13,0,0,0,0,0,0,train
поворачивай в сторону севера на 1 час 30 минут,hour,4,5,5,0,3,0,0,0,0,0,0,test
сократи расстояние между собой и ямой неподалеку от горки слева от ребёнка,relation2,8,6,0,0,0,5,0,1,7,4,6,test
"сократи дистанцию до расщелины, которая располагается правее валуна",relation1,7,6,0,0,0,8,0,5,11,0,0,test
"отыщи сосну, которая справа от ограждения",relation1,7,6,0,0,0,2,0,5,12,0,0,test
отправляйся к лесу,object,5,6,0,0,0,4,0,0,0,0,0,train
"поезжай к свету, находящемуся левее препятствия",relation1,7,6,0,0,0,13,0,4,12,0,0,train
"найди свет, который располагается левее избы",relation1,7,6,0,0,0,13,0,4,1,0,0,train
"отыщи барьер, находящийся перед авто",relation1,7,6,0,0,0,12,0,3,14,0,0,train
"отыщи срубленное дерево спереди от расщелины, которая справа от останца",relation2,8,6,0,0,0,3,0,3,8,5,11,train
иди к авто,object,5,6,0,0,0,14,0,0,0,0,0,train
"сократи расстояние между собой и останцем за автомобилем, который находится справа от булыжника",relation2,8,6,0,0,0,11,0,2,14,5,10,test
поворачивай в сторону севера 111°,degree,3,5,5,0,8,0,0,0,0,0,0,train
езжай направо 35m,meter,2,4,3,5,0,0,0,0,0,0,0,train
повернись на запад на 205 °,degree,3,5,8,0,14,0,0,0,0,0,0,train
повернись на северный край на 10°,degree,3,5,5,0,1,0,0,0,0,0,0,train
езжай вспять на 80M,meter,2,4,2,7,0,0,0,0,0,0,0,train
шагай влево на 46 метров,meter,2,4,4,6,0,0,0,0,0,0,0,train
"сократи расстояние между собой и упавшим деревом, располагающимся сзади от машины",relation1,7,6,0,0,0,3,0,2,14,0,0,test
направляйся к близлежащей ольхе,nearest,6,6,0,0,0,2,1,0,0,0,0,train
сократи дистанцию до препятствия правее рощи сзади от светильника,relation2,8,6,0,0,0,12,0,5,4,2,13,test
"топай к фонарю, находящемуся неподалеку от ребёнка",relation1,7,6,0,0,0,13,0,1,6,0,0,train
отправляйся на восточный край на 81m,meter,2,4,7,7,0,0,0,0,0,0,0,train
езжай к близкой даме,nearest,6,6,0,0,0,6,1,0,0,0,0,train
топай в северную сторону,direction,1,2,5,0,0,0,0,0,0,0,0,train
повернись в сторону юга 303 градуса,degree,3,5,6,0,20,0,0,0,0,0,0,train
"найди свалившегося человека, который позади возвышенности, которая за сосной",relation2,8,6,0,0,0,9,0,2,7,2,2,test
"сократи дистанцию до впадины, которая сзади от камня, находящегося за деревцем",relation2,8,6,0,0,0,5,0,2,10,2,2,test
"сократи расстояние между собой и ребёнком, находящимся правее растения",relation1,7,6,0,0,0,6,0,5,2,0,0,test
"отыщи автомобиль, располагающийся справа от дамы",relation1,7,6,0,0,0,14,0,5,6,0,0,train
"сократи дистанцию до спиленного дерева, которое рядом с избой спереди от пьяного человека",relation2,8,6,0,0,0,3,0,1,1,3,9,test
"найди валун, который располагается рядом с авто, которое справа от леса",relation2,8,6,0,0,0,11,0,1,14,5,4,train
заворачивай на южный край на 360 градусов,degree,3,5,6,0,24,0,0,0,0,0,0,train
повернись на север шесть с половиной часов,hour,4,5,5,0,13,0,0,0,0,0,0,train
"сократи расстояние между собой и человеком неподалеку от домика, который располагается рядом с валуном",relation2,8,6,0,0,0,6,0,1,1,1,11,train
"сократи дистанцию до лесополосы, находящейся левее разрыва, располагающегося за спиленным деревом",relation2,8,6,0,0,0,4,0,4,8,2,3,train
"направляйся к тачке, которая находится справа от кучи перед поваленным деревом",relation2,8,6,0,0,0,14,0,5,7,3,3,test
сократи расстояние между собой и разрывом спереди от оврага справа от дерева,relation2,8,6,0,0,0,8,0,3,5,5,2,train
"сократи дистанцию до строения, которое находится за лесополосой",relation1,7,6,0,0,0,1,0,2,4,0,0,train
поворачивай  на 199°,degree,3,5,3,0,13,0,0,0,0,0,0,test
"найди трещину, которая за кучей",relation1,7,6,0,0,0,8,0,2,7,0,0,train
поворачивай на восточный край на 0:30,hour,4,5,7,0,1,0,0,0,0,0,0,train
заворачивай в западную сторону 200,hour,4,5,8,0,4,0,0,0,0,0,0,train
следуй влево 64М,meter,2,4,4,7,0,0,0,0,0,0,0,test
"двигайся к фонарю, который левее лежащего человека",relation1,7,6,0,0,0,13,0,4,9,0,0,test
в южную сторону 282 градуса,degree,3,5,6,0,19,0,0,0,0,0,0,train
иди в сторону юга 95М,meter,2,4,6,8,0,0,0,0,0,0,0,train
"сократи расстояние между собой и валуном справа от разрыва, который слева от пьяного человека",relation2,8,6,0,0,0,11,0,5,8,4,9,train
"сократи расстояние между собой и чащей, которая располагается спереди от срубленного дерева",relation1,7,6,0,0,0,4,0,3,3,0,0,test
"отыщи сосну левее спиленного дерева, располагающегося около рытвины",relation2,8,6,0,0,0,2,0,4,3,1,5,train
"найди холм, который находится правее впадины, которая располагается за загородкой",relation2,8,6,0,0,0,7,0,5,5,2,12,train
"следуй к пропасти, которая располагается спереди от расщелины правее ольхи",relation2,8,6,0,0,0,5,0,3,8,5,2,test
"заворачивай по правую руку 8,5 часов",hour,4,5,3,0,17,0,0,0,0,0,0,train
"отыщи лежащего человека, который правее лампы, располагающейся за сломанным деревом",relation2,8,6,0,0,0,9,0,5,13,2,3,test
"на восток на 5,5 часов",hour,4,5,7,0,11,0,0,0,0,0,0,train
начинай движение на север на 12 м,meter,2,4,5,3,0,0,0,0,0,0,0,test
"отыщи разрыв, который перед сваленным деревом, располагающимся за домиком",relation2,8,6,0,0,0,8,0,3,3,2,1,train
найди разрыв перед рощей,relation1,7,6,0,0,0,8,0,3,4,0,0,test
топай к дубу слева от фонаря,relation1,7,6,0,0,0,2,0,4,13,0,0,train
"отыщи дом, который располагается правее ребёнка, который располагается правее расщелины",relation2,8,6,0,0,0,1,0,5,6,5,8,test
отыщи ближайший фонарь,nearest,6,6,0,0,0,13,1,0,0,0,0,train
поворачивай в правую сторону 261 °,degree,3,5,3,0,18,0,0,0,0,0,0,train
"сократи дистанцию до провала, который располагается слева от свалившегося человека",relation1,7,6,0,0,0,5,0,4,9,0,0,train
сделай поворот на западный край на 030,hour,4,5,8,0,1,0,0,0,0,0,0,test
сократи дистанцию до особняка,object,5,6,0,0,0,1,0,0,0,0,0,train
"сократи расстояние между собой и поваленным деревом, которое около пропасти, которая находится рядом с останцем",relation2,8,6,0,0,0,3,0,1,5,1,11,train
"сократи дистанцию до строения, которое около дубравы слева от тачки",relation2,8,6,0,0,0,1,0,1,4,4,14,train
начинай поворачивать  на 3 часа 0 минут,hour,4,5,3,0,6,0,0,0,0,0,0,train
вправо 50 метров,meter,2,4,3,6,0,0,0,0,0,0,0,train
"топай к спиленному дереву, которое слева от тачки",relation1,7,6,0,0,0,3,0,4,14,0,0,train
"сократи дистанцию до лесополосы, которая располагается за поваленным деревом",relation1,7,6,0,0,0,4,0,2,3,0,0,test
повернись в северную сторону 309 °,degree,3,5,5,0,21,0,0,0,0,0,0,train
поворачивай налево на 320 градусов,degree,3,5,4,0,22,0,0,0,0,0,0,train
направляйся к близлежащей куче,nearest,6,6,0,0,0,7,1,0,0,0,0,train
сдай в левую сторону 41м,meter,2,4,4,6,0,0,0,0,0,0,0,train
отыщи ближайшую загородку,nearest,6,6,0,0,0,12,1,0,0,0,0,train
сократи расстояние между собой и чащей справа от деревца,relation1,7,6,0,0,0,4,0,5,2,0,0,test
начинай поворачивать направо на 300,hour,4,5,3,0,6,0,0,0,0,0,0,train
соверши поворот в сторону юга на 9:00,hour,4,5,6,0,18,0,0,0,0,0,0,train
повернись в восточную сторону на 400,hour,4,5,7,0,8,0,0,0,0,0,0,train
"найди останец за упавшим человеком, находящимся справа от расщелины",relation2,8,6,0,0,0,11,0,2,9,5,8,test
"беги к поваленному дереву, которое правее свалившегося человека, располагающегося позади дубравы",relation2,8,6,0,0,0,3,0,5,9,2,4,train
"найди барьер, располагающийся перед булыгой",relation1,7,6,0,0,0,12,0,3,10,0,0,test
повернись на западный край на 4 °,degree,3,5,8,0,1,0,0,0,0,0,0,train
"найди лежащего человека, располагающегося рядом с ограждением",relation1,7,6,0,0,0,9,0,1,12,0,0,train
двигайся к ближайшей лесополосе,nearest,6,6,0,0,0,4,1,0,0,0,0,train
"сократи дистанцию до сосны, находящейся около товарища",relation1,7,6,0,0,0,2,0,1,6,0,0,test
повернись в сторону юга 123°,degree,3,5,6,0,8,0,0,0,0,0,0,train
сократи дистанцию до камня около светильника,relation1,7,6,0,0,0,10,0,1,13,0,0,train
"следуй к холмику правее света, который сзади от женщины",relation2,8,6,0,0,0,7,0,5,13,2,6,train
шагай к близкому дереву,nearest,6,6,0,0,0,2,1,0,0,0,0,train
 11 м,meter,2,4,3,3,0,0,0,0,0,0,0,train
"сократи расстояние между собой и деревцем, располагающимся около загородки",relation1,7,6,0,0,0,2,0,1,12,0,0,test
"отыщи поваленное дерево, которое перед ямой, находящейся сзади от ребёнка",relation2,8,6,0,0,0,3,0,3,5,2,6,train
двигайся к ближнему свалившемуся человеку,nearest,6,6,0,0,0,9,1,0,0,0,0,train
"сократи дистанцию до разлома, находящегося позади горки",relation1,7,6,0,0,0,8,0,2,7,0,0,train
езжай в западную сторону 79m,meter,2,4,8,7,0,0,0,0,0,0,0,train
отыщи трещину позади коттеджа,relation1,7,6,0,0,0,8,0,2,1,0,0,train
сделай поворот по правую руку на 100,hour,4,5,3,0,2,0,0,0,0,0,0,test
направляйся к железному коню сзади от человека,relation1,7,6,0,0,0,14,0,2,6,0,0,test
"найди булыжник, который находится позади срубленного дерева, располагающегося правее лампы",relation2,8,6,0,0,0,10,0,2,3,5,13,test
соверши поворот в сторону севера 231 градус,degree,3,5,5,0,16,0,0,0,0,0,0,test
на север на 284 °,degree,3,5,5,0,19,0,0,0,0,0,0,train
"поезжай к свалившемуся человеку правее строения, которое располагается позади оврага",relation2,8,6,0,0,0,9,0,5,1,2,5,train
двигайся к ближнему дому,nearest,6,6,0,0,0,1,1,0,0,0,0,test
"отыщи лежащего человека, который находится левее провала",relation1,7,6,0,0,0,9,0,4,5,0,0,test
"езжай к ребёнку, который располагается за впадиной",relation1,7,6,0,0,0,6,0,2,5,0,0,train
"направляйся к даме, располагающейся сзади от деревца",relation1,7,6,0,0,0,6,0,2,2,0,0,train
"отыщи деревце, которое находится перед чащей",relation1,7,6,0,0,0,2,0,3,4,0,0,test
шагай к ближайшему светильнику,nearest,6,6,0,0,0,13,1,0,0,0,0,train
заворачивай  на 9:00,hour,4,5,3,0,18,0,0,0,0,0,0,test
начинай поворачивать  10:30,hour,4,5,3,0,21,0,0,0,0,0,0,train
"двигайся к разлому, находящемуся позади тачки",relation1,7,6,0,0,0,8,0,2,14,0,0,train
"топай к лесополосе, которая правее расщелины",relation1,7,6,0,0,0,4,0,5,8,0,0,train
отправляйся налево 48м,meter,2,4,4,6,0,0,0,0,0,0,0,train
"сократи расстояние между собой и останцем сзади от лежащего человека, который спереди от сосны",relation2,8,6,0,0,0,11,0,2,9,3,2,train
"сократи расстояние между собой и пьяным человеком, который находится левее дома",relation1,7,6,0,0,0,9,0,4,1,0,0,test
езжай к ближайшему бугру,nearest,6,6,0,0,0,7,1,0,0,0,0,train
иди к авто около здания,relation1,7,6,0,0,0,14,0,1,1,0,0,test
начинай движение влево на 90 м,meter,2,4,4,7,0,0,0,0,0,0,0,train
"сократи дистанцию до чащи, которая перед барьером",relation1,7,6,0,0,0,4,0,3,12,0,0,test
"сократи дистанцию до останца, который находится правее автомобиля",relation1,7,6,0,0,0,11,0,5,14,0,0,train
"сократи расстояние между собой и разрывом, находящимся перед спиленным деревом, располагающимся правее камня",relation2,8,6,0,0,0,8,0,3,3,5,10,train
двигайся к близкому товарищу,nearest,6,6,0,0,0,6,1,0,0,0,0,train
начинай поворачивать на северный край 355 градусов,degree,3,5,5,0,24,0,0,0,0,0,0,train
"сократи расстояние между собой и лесом, который рядом с преградой, находящейся неподалеку от разлома",relation2,8,6,0,0,0,4,0,1,12,1,8,train
отправляйся  на 82 метра,meter,2,4,3,7,0,0,0,0,0,0,0,train
отправляйся к близлежащей пропасти,nearest,6,6,0,0,0,5,1,0,0,0,0,train
направляйся к строению за чащей,relation1,7,6,0,0,0,1,0,2,4,0,0,train
"шагай к человеку справа от упавшего человека, который рядом с избой",relation2,8,6,0,0,0,6,0,5,9,1,1,test
направляйся к ближнему дубу,nearest,6,6,0,0,0,2,1,0,0,0,0,train
найди останец справа от чащи,relation1,7,6,0,0,0,11,0,5,4,0,0,test
отправляйся к близлежащему упавшему человеку,nearest,6,6,0,0,0,9,1,0,0,0,0,train
"сократи дистанцию до сломанного дерева, располагающегося около пропасти",relation1,7,6,0,0,0,3,0,1,5,0,0,train
в южную сторону на 79M,meter,2,4,6,7,0,0,0,0,0,0,0,train
поезжай к светильнику,object,5,6,0,0,0,13,0,0,0,0,0,train
иди к свалившемуся человеку,object,5,6,0,0,0,9,0,0,0,0,0,train
повернись на юг 335°,degree,3,5,6,0,23,0,0,0,0,0,0,train
двигайся в западную сторону 23m,meter,2,4,8,4,0,0,0,0,0,0,0,train
заворачивай в правую сторону на 230 градусов,degree,3,5,3,0,16,0,0,0,0,0,0,train
соверши поворот на западный край 9:00,hour,4,5,8,0,18,0,0,0,0,0,0,train
"отыщи пригорок, который рядом с упавшим человеком",relation1,7,6,0,0,0,7,0,1,9,0,0,train
сократи расстояние между собой и лесом перед загородкой позади упавшего человека,relation2,8,6,0,0,0,4,0,3,12,2,9,test
"отправляйся к поваленному дереву, которое рядом с ямой слева от горы",relation2,8,6,0,0,0,3,0,1,5,4,7,train
двигайся к близлежащей впадине,nearest,6,6,0,0,0,5,1,0,0,0,0,train
соверши поворот в сторону юга 200,hour,4,5,6,0,4,0,0,0,0,0,0,train
найди ближнюю сосну,nearest,6,6,0,0,0,2,1,0,0,0,0,train
"поезжай к дубраве, находящейся перед столбом, который спереди от дома",relation2,8,6,0,0,0,4,0,3,13,3,1,train
"отыщи трещину перед фонарём, который позади сваленного дерева",relation2,8,6,0,0,0,8,0,3,13,2,3,test
двигайся к булыге,object,5,6,0,0,0,10,0,0,0,0,0,train
начинай поворачивать  260 °,degree,3,5,3,0,18,0,0,0,0,0,0,train
повернись в сторону востока на 20 градусов,degree,3,5,7,0,1,0,0,0,0,0,0,train
"сократи дистанцию до оврага, находящегося справа от упавшего человека",relation1,7,6,0,0,0,5,0,5,9,0,0,train
"сократи расстояние между собой и пьяным человеком, который за останцем",relation1,7,6,0,0,0,9,0,2,11,0,0,train
топай в сторону востока 22m,meter,2,4,7,4,0,0,0,0,0,0,0,train
начинай движение на юг на 29 метров,meter,2,4,6,4,0,0,0,0,0,0,0,train
влево на 3:30,hour,4,5,4,0,7,0,0,0,0,0,0,test
двигайся к горе справа от расщелины,relation1,7,6,0,0,0,7,0,5,8,0,0,train
иди к пригорку,object,5,6,0,0,0,7,0,0,0,0,0,test
поворачивай  на 8:30,hour,4,5,3,0,17,0,0,0,0,0,0,train
на запад на 314°,degree,3,5,8,0,21,0,0,0,0,0,0,test
сделай поворот  на 9:30,hour,4,5,3,0,19,0,0,0,0,0,0,test
поезжай к близлежащему спиленному дереву,nearest,6,6,0,0,0,3,1,0,0,0,0,test
"сократи расстояние между собой и барьером рядом с ольхой, располагающейся за авто",relation2,8,6,0,0,0,12,0,1,2,2,14,train
"сократи расстояние между собой и сосной, которая спереди от человека, который располагается левее тачки",relation2,8,6,0,0,0,2,0,3,6,4,14,test
иди прямо по курсу на 51 метр,meter,2,4,1,6,0,0,0,0,0,0,0,test
двигайся ,direction,1,2,3,0,0,0,0,0,0,0,0,train
"сократи расстояние между собой и разломом, располагающимся около рытвины, располагающейся рядом с лесополосой",relation2,8,6,0,0,0,8,0,1,5,1,4,test
"сократи дистанцию до дубравы, располагающейся рядом с разломом",relation1,7,6,0,0,0,4,0,1,8,0,0,train
соверши поворот на западный край на 355 °,degree,3,5,8,0,24,0,0,0,0,0,0,train
сделай поворот направо 10:30,hour,4,5,3,0,21,0,0,0,0,0,0,test
начинай поворачивать в западную сторону на 176 °,degree,3,5,8,0,12,0,0,0,0,0,0,train
"сократи расстояние между собой и машиной, которая левее булыги, которая правее лежащего человека",relation2,8,6,0,0,0,14,0,4,10,5,9,train
"сократи дистанцию до пьяного человека, который находится справа от провала",relation1,7,6,0,0,0,9,0,5,5,0,0,train
направляйся к светильнику слева от дубравы позади лежащего человека,relation2,8,6,0,0,0,13,0,4,4,2,9,train
поезжай к ближнему разрыву,nearest,6,6,0,0,0,8,1,0,0,0,0,train
иди к ближней рытвине,nearest,6,6,0,0,0,5,1,0,0,0,0,train
тебе нужно подъехать к преграде,object,5,6,0,0,0,12,0,0,0,0,0,train
"сократи дистанцию до лежащего человека, находящегося справа от упавшего дерева",relation1,7,6,0,0,0,9,0,5,3,0,0,test
"отыщи упавшего человека, который правее лесополосы, которая перед трещиной",relation2,8,6,0,0,0,9,0,5,4,3,8,test
"сократи расстояние между собой и тачкой, которая левее сосны, которая неподалеку от коттеджа",relation2,8,6,0,0,0,14,0,4,2,1,1,train
беги к ближайшему оврагу,nearest,6,6,0,0,0,5,1,0,0,0,0,train
"сократи расстояние между собой и валуном, который спереди от железного коня, который находится перед провалом",relation2,8,6,0,0,0,11,0,3,14,3,5,train
направляйся влево на 33 м,meter,2,4,4,5,0,0,0,0,0,0,0,train
отыщи близлежащую тачку,nearest,6,6,0,0,0,14,1,0,0,0,0,train
"направляйся к препятствию, располагающемуся левее провала",relation1,7,6,0,0,0,12,0,4,5,0,0,train
на западный край на 63M,meter,2,4,8,7,0,0,0,0,0,0,0,train
"топай к дереву, которое располагается спереди от человека, который около трещины",relation2,8,6,0,0,0,2,0,3,6,1,8,train
соверши поворот на восток 3:00,hour,4,5,7,0,6,0,0,0,0,0,0,train
"тебе нужно подъехать к булыжнику, который находится перед дубом перед пропастью",relation2,8,6,0,0,0,10,0,3,2,3,5,train
"сократи дистанцию до сломанного дерева, располагающегося около деревца, располагающегося справа от загородки",relation2,8,6,0,0,0,3,0,1,2,5,12,train
"отыщи разлом, который спереди от рощи",relation1,7,6,0,0,0,8,0,3,4,0,0,test
"сократи дистанцию до сломанного дерева, находящегося неподалеку от препятствия",relation1,7,6,0,0,0,3,0,1,12,0,0,test
поворачивай в сторону запада на один с половиной час,hour,4,5,8,0,3,0,0,0,0,0,0,train
заворачивай на западный край 291°,degree,3,5,8,0,20,0,0,0,0,0,0,train
сократи расстояние между собой и домиком спереди от останца,relation1,7,6,0,0,0,1,0,3,11,0,0,train
беги к трещине за ограждением,relation1,7,6,0,0,0,8,0,2,12,0,0,train
двигайся на восточный край на 76m,meter,2,4,7,7,0,0,0,0,0,0,0,test
найди валун левее упавшего человека,relation1,7,6,0,0,0,11,0,4,9,0,0,train
повернись в северную сторону 11 с половиной часов,hour,4,5,5,0,23,0,0,0,0,0,0,train
поезжай  102М,meter,2,4,1,8,0,0,0,0,0,0,0,train
"сократи дистанцию до мужчины за железным конём, который находится перед камнем",relation2,8,6,0,0,0,6,0,2,14,3,10,train
"сократи дистанцию до разлома, который рядом с железным конём позади ограждения",relation2,8,6,0,0,0,8,0,1,14,2,12,test
поезжай вправо,direction,1,2,3,0,0,0,0,0,0,0,0,test
"соверши поворот в восточную сторону на 3,5 часа",hour,4,5,7,0,7,0,0,0,0,0,0,test
"сократи дистанцию до загородки, находящейся рядом с провалом, который располагается правее чащи",relation2,8,6,0,0,0,12,0,1,5,5,4,train
"отыщи разрыв, который рядом с сосной",relation1,7,6,0,0,0,8,0,1,2,0,0,train
"иди к дубу, который находится слева от впадины",relation1,7,6,0,0,0,2,0,4,5,0,0,test
двигайся в сторону севера на 36m,meter,2,4,5,5,0,0,0,0,0,0,0,test
двигайся к домику,object,5,6,0,0,0,1,0,0,0,0,0,test
"сократи дистанцию до пропасти, которая слева от упавшего человека, который правее рощи",relation2,8,6,0,0,0,5,0,4,9,5,4,train
"сократи дистанцию до свалившегося человека, находящегося рядом с столбом рядом с товарищем",relation2,8,6,0,0,0,9,0,1,13,1,6,test
на северный край на 500,hour,4,5,5,0,10,0,0,0,0,0,0,train
заворачивай налево 201 °,degree,3,5,4,0,14,0,0,0,0,0,0,train
"отыщи фонарь правее машины, которая находится сзади от останца",relation2,8,6,0,0,0,13,0,5,14,2,11,train
отыщи лесополосу,object,5,6,0,0,0,4,0,0,0,0,0,train
"сократи дистанцию до рощи, которая находится сзади от булыжника, который правее сваленного дерева",relation2,8,6,0,0,0,4,0,2,10,5,3,train
"сократи дистанцию до срубленного дерева, которое располагается правее барьера, располагающегося за свалившимся человеком",relation2,8,6,0,0,0,3,0,5,12,2,9,train
поворачивай в сторону юга 225 градусов,degree,3,5,6,0,15,0,0,0,0,0,0,train
тебе нужно подъехать к ближнему сломанному дереву,nearest,6,6,0,0,0,3,1,0,0,0,0,train
сделай поворот вправо на полтора часа,hour,4,5,3,0,3,0,0,0,0,0,0,train
сократи дистанцию до близлежащей расщелины,nearest,6,6,0,0,0,8,1,0,0,0,0,train
начинай поворачивать на север на 11 градусов,degree,3,5,5,0,1,0,0,0,0,0,0,train
заворачивай в левую сторону на 130 °,degree,3,5,4,0,9,0,0,0,0,0,0,train
"сократи расстояние между собой и дамой, которая за провалом, находящимся неподалеку от бугра",relation2,8,6,0,0,0,6,0,2,5,1,7,train
беги на юг 45M,meter,2,4,6,6,0,0,0,0,0,0,0,train
иди в северную сторону,direction,1,2,5,0,0,0,0,0,0,0,0,train
шагай к ближнему растению,nearest,6,6,0,0,0,2,1,0,0,0,0,train
"найди загородку, находящуюся рядом с канавой",relation1,7,6,0,0,0,12,0,1,5,0,0,test
"найди избу, которая сзади от загородки",relation1,7,6,0,0,0,1,0,2,12,0,0,train
повернись на восток на 239 °,degree,3,5,7,0,16,0,0,0,0,0,0,train
поезжай к близлежащему ребёнку,nearest,6,6,0,0,0,6,1,0,0,0,0,train
беги на южный край 54М,meter,2,4,6,6,0,0,0,0,0,0,0,train
сократи дистанцию до впадины неподалеку от разрыва,relation1,7,6,0,0,0,5,0,1,8,0,0,train
сдай на западный край 99M,meter,2,4,8,8,0,0,0,0,0,0,0,train
поворачивай в восточную сторону на 293 °,degree,3,5,7,0,20,0,0,0,0,0,0,train
"езжай к холму, находящемуся левее автомобиля, который располагается спереди от домика",relation2,8,6,0,0,0,7,0,4,14,3,1,train
отыщи разрыв за упавшим человеком,relation1,7,6,0,0,0,8,0,2,9,0,0,train
"сократи дистанцию до ольхи, которая находится рядом с ямой",relation1,7,6,0,0,0,2,0,1,5,0,0,test
поворачивай в правую сторону на 220 градусов,degree,3,5,3,0,15,0,0,0,0,0,0,train
сократи дистанцию до булыги левее преграды,relation1,7,6,0,0,0,10,0,4,12,0,0,train
соверши поворот в сторону юга 126°,degree,3,5,6,0,9,0,0,0,0,0,0,train
сделай поворот  2 градуса,degree,3,5,3,0,1,0,0,0,0,0,0,train
сократи расстояние между собой и разломом справа от ямы правее преграды,relation2,8,6,0,0,0,8,0,5,5,5,12,train
шагай к дереву справа от коттеджа,relation1,7,6,0,0,0,2,0,5,1,0,0,train
сократи расстояние между собой и железным конём спереди от упавшего человека,relation1,7,6,0,0,0,14,0,3,9,0,0,train
повернись на северный край на 218 градусов,degree,3,5,5,0,15,0,0,0,0,0,0,train
"поезжай к мужчине, который перед булыгой, которая справа от провала",relation2,8,6,0,0,0,6,0,3,10,5,5,train
в сторону севера на 11:00,hour,4,5,5,0,22,0,0,0,0,0,0,train
поворачивай в сторону запада на 136 °,degree,3,5,8,0,9,0,0,0,0,0,0,train
"сократи дистанцию до холмика, который располагается рядом с сваленным деревом",relation1,7,6,0,0,0,7,0,1,3,0,0,train
начинай движение в сторону запада 25М,meter,2,4,8,4,0,0,0,0,0,0,0,train
"сократи дистанцию до деревца, находящегося перед пьяным человеком",relation1,7,6,0,0,0,2,0,3,9,0,0,test
двигайся к ближнему строению,nearest,6,6,0,0,0,1,1,0,0,0,0,train
повернись в западную сторону час 0 минут,hour,4,5,8,0,2,0,0,0,0,0,0,test
топай  4м,meter,2,4,1,1,0,0,0,0,0,0,0,train
"сократи расстояние между собой и мужчиной, который рядом с ольхой",relation1,7,6,0,0,0,6,0,1,2,0,0,test
в сторону севера на 300,hour,4,5,5,0,6,0,0,0,0,0,0,test
"сократи расстояние между собой и трещиной, находящейся неподалеку от чащи",relation1,7,6,0,0,0,8,0,1,4,0,0,train
иди в правую сторону на 8 м,meter,2,4,3,2,0,0,0,0,0,0,0,train
"шагай к пьяному человеку, который слева от домика, который располагается около трещины",relation2,8,6,0,0,0,9,0,4,1,1,8,train
"тебе нужно подъехать к автомобилю, который справа от валуна",relation1,7,6,0,0,0,14,0,5,11,0,0,train
отыщи близкий холм,nearest,6,6,0,0,0,7,1,0,0,0,0,train
"тебе нужно подъехать к товарищу, который левее валуна, который слева от лежащего человека",relation2,8,6,0,0,0,6,0,4,11,4,9,test
"поезжай к провалу, который находится за преградой",relation1,7,6,0,0,0,5,0,2,12,0,0,train
"сократи дистанцию до товарища, находящегося за бугром",relation1,7,6,0,0,0,6,0,2,7,0,0,train
повернись в правую сторону 8:30,hour,4,5,3,0,17,0,0,0,0,0,0,train
направляйся к растению за машиной,relation1,7,6,0,0,0,2,0,2,14,0,0,train
сократи дистанцию до барьера спереди от камня,relation1,7,6,0,0,0,12,0,3,10,0,0,test
поезжай к ближайшему авто,nearest,6,6,0,0,0,14,1,0,0,0,0,train
"сократи дистанцию до берёзы, находящейся перед лесом",relation1,7,6,0,0,0,2,0,3,4,0,0,train
"езжай к провалу, который располагается рядом с разломом, находящимся перед деревом",relation2,8,6,0,0,0,5,0,1,8,3,2,test
"сократи расстояние между собой и поваленным деревом, находящимся рядом с булыжником",relation1,7,6,0,0,0,3,0,1,10,0,0,train
иди к ближнему холму,nearest,6,6,0,0,0,7,1,0,0,0,0,train
"сократи расстояние между собой и деревом, располагающимся правее фонаря, который располагается спереди от сваленного дерева",relation2,8,6,0,0,0,2,0,5,13,3,3,train
заворачивай вправо на 166 градусов,degree,3,5,3,0,11,0,0,0,0,0,0,train
заворачивай на северный край на 283 градуса,degree,3,5,5,0,19,0,0,0,0,0,0,train
соверши поворот на восток 300,hour,4,5,7,0,6,0,0,0,0,0,0,train
"сократи расстояние между собой и чащей, которая располагается перед холмом, который левее пропасти",relation2,8,6,0,0,0,4,0,3,7,4,5,test
поезжай к деревцу,object,5,6,0,0,0,2,0,0,0,0,0,test
"отыщи останец, который рядом с тачкой",relation1,7,6,0,0,0,11,0,1,14,0,0,train
"сократи дистанцию до светильника, который левее оврага",relation1,7,6,0,0,0,13,0,4,5,0,0,train
"отыщи провал, который располагается правее фонаря",relation1,7,6,0,0,0,5,0,5,13,0,0,train
найди упавшего человека за останцем,relation1,7,6,0,0,0,9,0,2,11,0,0,train
заворачивай по правую руку 241 градус,degree,3,5,3,0,16,0,0,0,0,0,0,test
повернись в южную сторону на 312 градусов,degree,3,5,6,0,21,0,0,0,0,0,0,test
"отыщи даму, которая позади лесополосы",relation1,7,6,0,0,0,6,0,2,4,0,0,test
"найди избу, располагающуюся справа от упавшего человека",relation1,7,6,0,0,0,1,0,5,9,0,0,train
"следуй к оврагу, который находится рядом с расщелиной",relation1,7,6,0,0,0,5,0,1,8,0,0,train
отправляйся на запад 35м,meter,2,4,8,5,0,0,0,0,0,0,0,train
